,date,Ticker,COMPANY,GICS Sector,SDG_1,SDG_2,SDG_3,SDG_4,SDG_5,SDG_6,SDG_7,SDG_8,SDG_9,SDG_10,SDG_11,SDG_12,SDG_13,SDG_14,SDG_15,SDG_16,SDG_17,SDG_Mean,MA_7day_1,MA_7day_2,MA_7day_3,MA_7day_4,MA_7day_5,MA_7day_6,MA_7day_7,MA_7day_8,MA_7day_9,MA_7day_10,MA_7day_11,MA_7day_12,MA_7day_13,MA_7day_14,MA_7day_15,MA_7day_16,MA_7day_17,MA_7day_Mean,MA_60day_1,MA_60day_2,MA_60day_3,MA_60day_4,MA_60day_5,MA_60day_6,MA_60day_7,MA_60day_8,MA_60day_9,MA_60day_10,MA_60day_11,MA_60day_12,MA_60day_13,MA_60day_14,MA_60day_15,MA_60day_16,MA_60day_17,MA_60day_Mean,SDG_1_std,SDG_2_std,SDG_3_std,SDG_4_std,SDG_5_std,SDG_6_std,SDG_7_std,SDG_8_std,SDG_9_std,SDG_10_std,SDG_11_std,SDG_12_std,SDG_13_std,SDG_14_std,SDG_15_std,SDG_16_std,SDG_17_std,SDG_std_Mean,SDG_1_count,SDG_2_count,SDG_3_count,SDG_4_count,SDG_5_count,SDG_6_count,SDG_7_count,SDG_8_count,SDG_9_count,SDG_10_count,SDG_11_count,SDG_12_count,SDG_13_count,SDG_14_count,SDG_15_count,SDG_16_count,SDG_17_count,SDG_count_Mean
867,2018-12-18,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,-4.032258064516127,,,-0.921658986175115,,,,,-0.921658986175115,,-1.958525345622119,,,-0.12274984204184677,,,,0.13739179885602,-0.5069486068679903,0.28795262775122465,-0.5057838195887717,-0.05873241185914539,-0.226552075160731,,,,-0.10669222886825788,,-0.1625149714668076,,,0.1944655923861494,,,,,0.17964406832475563,,,0.30203554982702874,,,,,0.11633300337387655,,0.24058298237912534,,,,,,,,4.3990514036951085,,,2.0,,,,,2.0,,2.7996838012317027,,,,,,,,2.0,,,1.0,,,,,1.0,,1.3333333333333333
868,2018-12-19,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,-0.12274984204184677,,,,0.13739179885602,-0.5069486068679903,0.28795262775122465,-0.5057838195887717,-0.05873241185914539,-0.226552075160731,,,,-0.10669222886825788,,-0.1625149714668076,,,0.1944655923861494,,,,,0.17964406832475563,,,0.30203554982702874,,,,,0.11633300337387655,,0.24058298237912534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,2018-12-20,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,-0.12274984204184677,,,,0.13739179885602,-0.5069486068679903,0.28795262775122465,-0.5057838195887717,-0.05873241185914539,-0.226552075160731,,,,-0.10669222886825788,,-0.1625149714668076,,,0.1944655923861494,,,,,0.17964406832475563,,,0.30203554982702874,,,,,0.11633300337387655,,0.24058298237912534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,2018-12-21,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,2.8273809523809503,,,,,2.8273809523809503,,2.8273809523809503,2.8273809523809503,,,,,,,2.8273809523809503,,,0.11653412547163246,,,,0.13739179885602,-0.14366569255810144,0.28795262775122465,-0.16947493374571954,0.13658737748704958,-0.226552075160731,,,,-0.10669222886825788,,0.014234707711976024,,,0.22469262775742901,,,,,0.2136776369798124,,0.22437462715272247,0.3294739709230255,,,,,0.11633300337387655,,0.2612513386920561,,,2.0,,,,,2.0,,2.0,2.0,,,,,,,2.0,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,1.0
871,2018-12-22,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,0.11653412547163246,,,,0.13739179885602,-0.14366569255810144,0.28795262775122465,-0.16947493374571954,0.13658737748704958,-0.226552075160731,,,,-0.10669222886825788,,0.014234707711976024,,,0.22469262775742901,,,,,0.2136776369798124,,0.22437462715272247,0.3294739709230255,,,,,0.11633300337387655,,0.2612513386920561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,2018-12-23,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,0.11653412547163246,,,,0.13739179885602,-0.14366569255810144,0.28795262775122465,-0.16947493374571954,0.13658737748704958,-0.226552075160731,,,,-0.10669222886825788,,0.014234707711976024,,,0.22469262775742901,,,,,0.2136776369798124,,0.22437462715272247,0.3294739709230255,,,,,0.11633300337387655,,0.2612513386920561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,2018-12-24,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,0.11653412547163246,,,,0.13739179885602,-0.14366569255810144,0.28795262775122465,-0.16947493374571954,0.13658737748704958,-0.226552075160731,,,,-0.10669222886825788,,0.014234707711976024,,,0.22469262775742901,,,,,0.2136776369798124,,0.22437462715272247,0.3294739709230255,,,,,0.11633300337387655,,0.2612513386920561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,2018-12-25,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,0.11653412547163246,,,,0.13739179885602,-0.14366569255810144,0.28795262775122465,-0.16947493374571954,0.13658737748704958,-0.226552075160731,,,,-0.10669222886825788,,0.014234707711976024,,,0.22469262775742901,,,,,0.2136776369798124,,0.22437462715272247,0.3294739709230255,,,,,0.11633300337387655,,0.2612513386920561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,2018-12-26,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,0.11653412547163246,,,,0.13739179885602,-0.14366569255810144,0.28795262775122465,-0.16947493374571954,0.13658737748704958,-0.226552075160731,,,,-0.10669222886825788,,0.014234707711976024,,,0.22469262775742901,,,,,0.2136776369798124,,0.22437462715272247,0.3294739709230255,,,,,0.11633300337387655,,0.2612513386920561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,2018-12-27,BHOOY,BOOHOO GROUP PLC - UNSP ADR,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,0.11653412547163246,,,,0.13739179885602,-0.14366569255810144,0.28795262775122465,-0.16947493374571954,0.13658737748704958,-0.226552075160731,,,,-0.10669222886825788,,0.014234707711976024,,,0.22469262775742901,,,,,0.2136776369798124,,0.22437462715272247,0.3294739709230255,,,,,0.11633300337387655,,0.2612513386920561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
